id,chain,region,gene,family,family_int
TRAV1-1*01,A,V,TRAV1-1,V1,1
TRAV1-1*02,A,V,TRAV1-1,V1,1
TRAV1-2*01,A,V,TRAV1-2,V1,1
TRAV1-2*02,A,V,TRAV1-2,V1,1
TRAV2*01,A,V,TRAV2,V2,2
TRAV2*02,A,V,TRAV2,V2,2
TRAV3*01,A,V,TRAV3,V3,3
TRAV4*01,A,V,TRAV4,V4,4
TRAV5*01,A,V,TRAV5,V5,5
TRAV6*01,A,V,TRAV6,V6,6
TRAV6*02,A,V,TRAV6,V6,6
TRAV6*03,A,V,TRAV6,V6,6
TRAV6*04,A,V,TRAV6,V6,6
TRAV6*05,A,V,TRAV6,V6,6
TRAV6*06,A,V,TRAV6,V6,6
TRAV7*01,A,V,TRAV7,V7,7
TRAV8-1*01,A,V,TRAV8-1,V8,8
TRAV8-1*02,A,V,TRAV8-1,V8,8
TRAV8-2*01,A,V,TRAV8-2,V8,8
TRAV8-2*02,A,V,TRAV8-2,V8,8
TRAV8-3*01,A,V,TRAV8-3,V8,8
TRAV8-3*02,A,V,TRAV8-3,V8,8
TRAV8-3*03,A,V,TRAV8-3,V8,8
TRAV8-4*01,A,V,TRAV8-4,V8,8
TRAV8-4*02,A,V,TRAV8-4,V8,8
TRAV8-4*03,A,V,TRAV8-4,V8,8
TRAV8-4*04,A,V,TRAV8-4,V8,8
TRAV8-4*05,A,V,TRAV8-4,V8,8
TRAV8-4*06,A,V,TRAV8-4,V8,8
TRAV8-4*07,A,V,TRAV8-4,V8,8
TRAV8-6*01,A,V,TRAV8-6,V8,8
TRAV8-6*02,A,V,TRAV8-6,V8,8
TRAV8-7*01,A,V,TRAV8-7,V8,8
TRAV9-1*01,A,V,TRAV9-1,V9,9
TRAV9-2*01,A,V,TRAV9-2,V9,9
TRAV9-2*02,A,V,TRAV9-2,V9,9
TRAV9-2*03,A,V,TRAV9-2,V9,9
TRAV9-2*04,A,V,TRAV9-2,V9,9
TRAV10*01,A,V,TRAV10,V10,10
TRAV11*01,A,V,TRAV11,V11,11
TRAV12-1*01,A,V,TRAV12-1,V12,12
TRAV12-1*02,A,V,TRAV12-1,V12,12
TRAV12-2*01,A,V,TRAV12-2,V12,12
TRAV12-2*02,A,V,TRAV12-2,V12,12
TRAV12-2*03,A,V,TRAV12-2,V12,12
TRAV12-3*01,A,V,TRAV12-3,V12,12
TRAV12-3*02,A,V,TRAV12-3,V12,12
TRAV13-1*01,A,V,TRAV13-1,V13,13
TRAV13-1*02,A,V,TRAV13-1,V13,13
TRAV13-1*03,A,V,TRAV13-1,V13,13
TRAV13-2*01,A,V,TRAV13-2,V13,13
TRAV13-2*02,A,V,TRAV13-2,V13,13
TRAV14/DV4*01,A,V,TRAV14/DV4,V14,14
TRAV14/DV4*02,A,V,TRAV14/DV4,V14,14
TRAV14/DV4*03,A,V,TRAV14/DV4,V14,14
TRAV14/DV4*04,A,V,TRAV14/DV4,V14,14
TRAV16*01,A,V,TRAV16,V16,16
TRAV17*01,A,V,TRAV17,V17,17
TRAV18*01,A,V,TRAV18,V18,18
TRAV19*01,A,V,TRAV19,V19,19
TRAV20*01,A,V,TRAV20,V20,20
TRAV20*02,A,V,TRAV20,V20,20
TRAV20*03,A,V,TRAV20,V20,20
TRAV20*04,A,V,TRAV20,V20,20
TRAV21*01,A,V,TRAV21,V21,21
TRAV21*02,A,V,TRAV21,V21,21
TRAV22*01,A,V,TRAV22,V22,22
TRAV23/DV6*01,A,V,TRAV23/DV6,V23,23
TRAV23/DV6*02,A,V,TRAV23/DV6,V23,23
TRAV23/DV6*03,A,V,TRAV23/DV6,V23,23
TRAV23/DV6*04,A,V,TRAV23/DV6,V23,23
TRAV24*01,A,V,TRAV24,V24,24
TRAV24*02,A,V,TRAV24,V24,24
TRAV25*01,A,V,TRAV25,V25,25
TRAV26-1*01,A,V,TRAV26-1,V26,26
TRAV26-1*02,A,V,TRAV26-1,V26,26
TRAV26-1*03,A,V,TRAV26-1,V26,26
TRAV26-2*01,A,V,TRAV26-2,V26,26
TRAV26-2*02,A,V,TRAV26-2,V26,26
TRAV27*01,A,V,TRAV27,V27,27
TRAV27*02,A,V,TRAV27,V27,27
TRAV27*03,A,V,TRAV27,V27,27
TRAV29/DV5*01,A,V,TRAV29/DV5,V29,29
TRAV29/DV5*02,A,V,TRAV29/DV5,V29,29
TRAV30*01,A,V,TRAV30,V30,30
TRAV30*02,A,V,TRAV30,V30,30
TRAV30*03,A,V,TRAV30,V30,30
TRAV30*04,A,V,TRAV30,V30,30
TRAV34*01,A,V,TRAV34,V34,34
TRAV35*01,A,V,TRAV35,V35,35
TRAV35*02,A,V,TRAV35,V35,35
TRAV36/DV7*01,A,V,TRAV36/DV7,V36,36
TRAV36/DV7*02,A,V,TRAV36/DV7,V36,36
TRAV36/DV7*03,A,V,TRAV36/DV7,V36,36
TRAV36/DV7*04,A,V,TRAV36/DV7,V36,36
TRAV38-1*01,A,V,TRAV38-1,V38,38
TRAV38-1*02,A,V,TRAV38-1,V38,38
TRAV38-1*03,A,V,TRAV38-1,V38,38
TRAV38-1*04,A,V,TRAV38-1,V38,38
TRAV38-2/DV8*01,A,V,TRAV38-2/DV8,V38,38
TRAV39*01,A,V,TRAV39,V39,39
TRAV40*01,A,V,TRAV40,V40,40
TRAV41*01,A,V,TRAV41,V41,41
TRAJ1*01,A,J,TRAJ1,J1,1
TRAJ2*01,A,J,TRAJ2,J2,2
TRAJ3*01,A,J,TRAJ3,J3,3
TRAJ4*01,A,J,TRAJ4,J4,4
TRAJ5*01,A,J,TRAJ5,J5,5
TRAJ6*01,A,J,TRAJ6,J6,6
TRAJ7*01,A,J,TRAJ7,J7,7
TRAJ8*01,A,J,TRAJ8,J8,8
TRAJ9*01,A,J,TRAJ9,J9,9
TRAJ10*01,A,J,TRAJ10,J10,10
TRAJ11*01,A,J,TRAJ11,J11,11
TRAJ12*01,A,J,TRAJ12,J12,12
TRAJ13*01,A,J,TRAJ13,J13,13
TRAJ13*02,A,J,TRAJ13,J13,13
TRAJ14*01,A,J,TRAJ14,J14,14
TRAJ15*01,A,J,TRAJ15,J15,15
TRAJ15*02,A,J,TRAJ15,J15,15
TRAJ16*01,A,J,TRAJ16,J16,16
TRAJ17*01,A,J,TRAJ17,J17,17
TRAJ18*01,A,J,TRAJ18,J18,18
TRAJ19*01,A,J,TRAJ19,J19,19
TRAJ20*01,A,J,TRAJ20,J20,20
TRAJ21*01,A,J,TRAJ21,J21,21
TRAJ22*01,A,J,TRAJ22,J22,22
TRAJ23*01,A,J,TRAJ23,J23,23
TRAJ23*02,A,J,TRAJ23,J23,23
TRAJ24*01,A,J,TRAJ24,J24,24
TRAJ24*02,A,J,TRAJ24,J24,24
TRAJ25*01,A,J,TRAJ25,J25,25
TRAJ26*01,A,J,TRAJ26,J26,26
TRAJ27*01,A,J,TRAJ27,J27,27
TRAJ28*01,A,J,TRAJ28,J28,28
TRAJ29*01,A,J,TRAJ29,J29,29
TRAJ30*01,A,J,TRAJ30,J30,30
TRAJ31*01,A,J,TRAJ31,J31,31
TRAJ32*01,A,J,TRAJ32,J32,32
TRAJ32*02,A,J,TRAJ32,J32,32
TRAJ33*01,A,J,TRAJ33,J33,33
TRAJ34*01,A,J,TRAJ34,J34,34
TRAJ35*01,A,J,TRAJ35,J35,35
TRAJ36*01,A,J,TRAJ36,J36,36
TRAJ37*01,A,J,TRAJ37,J37,37
TRAJ37*02,A,J,TRAJ37,J37,37
TRAJ38*01,A,J,TRAJ38,J38,38
TRAJ39*01,A,J,TRAJ39,J39,39
TRAJ40*01,A,J,TRAJ40,J40,40
TRAJ41*01,A,J,TRAJ41,J41,41
TRAJ42*01,A,J,TRAJ42,J42,42
TRAJ43*01,A,J,TRAJ43,J43,43
TRAJ44*01,A,J,TRAJ44,J44,44
TRAJ45*01,A,J,TRAJ45,J45,45
TRAJ46*01,A,J,TRAJ46,J46,46
TRAJ47*01,A,J,TRAJ47,J47,47
TRAJ47*02,A,J,TRAJ47,J47,47
TRAJ48*01,A,J,TRAJ48,J48,48
TRAJ49*01,A,J,TRAJ49,J49,49
TRAJ50*01,A,J,TRAJ50,J50,50
TRAJ51*01,A,J,TRAJ51,J51,51
TRAJ52*01,A,J,TRAJ52,J52,52
TRAJ53*01,A,J,TRAJ53,J53,53
TRAJ54*01,A,J,TRAJ54,J54,54
TRAJ55*01,A,J,TRAJ55,J55,55
TRAJ56*01,A,J,TRAJ56,J56,56
TRAJ57*01,A,J,TRAJ57,J57,57
TRAJ58*01,A,J,TRAJ58,J58,58
TRAJ59*01,A,J,TRAJ59,J59,59
TRAJ60*01,A,J,TRAJ60,J60,60
TRAJ61*01,A,J,TRAJ61,J61,61
TRBV1*01,B,V,TRBV1,V1,1
TRAV1-1*01,B,V,TRAV1-1,V1,1
TRAV1-1*02,B,V,TRAV1-1,V1,1
TRAV1-2*01,B,V,TRAV1-2,V1,1
TRAV1-2*02,B,V,TRAV1-2,V1,1
TRBV2*01,B,V,TRBV2,V2,2
TRBV2*02,B,V,TRBV2,V2,2
TRBV2*03,B,V,TRBV2,V2,2
TRAV2*01,B,V,TRAV2,V2,2
TRAV2*02,B,V,TRAV2,V2,2
TRBV3-1*01,B,V,TRBV3-1,V3,3
